layer_idx,step_idx,head_idx,plane_idx,reads_count
0,0,3,17,14
0,0,3,18,10
0,0,3,19,11
0,0,3,20,10
0,0,3,21,13
0,0,3,22,15
0,0,3,23,15
0,0,3,24,13
0,0,3,25,10
0,0,3,26,11
0,0,3,27,18
0,0,3,28,16
0,0,3,29,15
0,0,3,30,12
0,0,3,31,10
0,0,4,0,17
0,0,4,1,15
0,0,4,2,13
0,0,4,3,15
0,0,4,4,13
0,0,4,5,13
0,0,4,6,12
0,0,4,7,12
0,0,4,8,13
0,0,4,9,8
0,0,4,10,8
0,0,4,11,11
0,0,4,12,12
0,0,4,13,15
0,0,4,14,10
0,0,4,15,9
0,0,4,16,11
0,0,4,17,17
0,0,4,18,17
0,0,4,19,9
0,0,4,20,13
0,0,4,21,14
0,0,4,22,9
0,0,4,23,9
0,0,4,24,13
0,0,4,25,13
0,0,4,26,9
0,0,4,27,17
0,0,4,28,16
0,0,4,29,11
0,0,4,30,12
0,0,4,31,11
0,0,5,0,15
0,0,5,1,18
0,0,5,2,14
0,0,5,3,14
0,0,5,4,13
0,0,5,5,13
0,0,5,6,16
0,0,5,7,19
0,0,5,8,14
0,0,5,9,12
0,0,5,10,10
0,0,5,11,13
0,0,5,12,15
0,0,5,13,10
0,0,5,14,13
0,0,5,15,15
0,0,5,16,12
0,0,5,17,11
0,0,5,18,12
0,0,5,19,11
0,0,5,20,9
0,0,5,21,10
0,0,5,22,9
0,0,5,23,11
0,0,5,24,11
0,0,5,25,10
0,0,5,26,9
0,0,5,27,14
0,0,5,28,12
0,0,5,29,12
0,0,5,30,12
0,0,5,31,14
0,0,6,0,12
0,0,6,1,14
0,0,6,2,12
0,0,6,3,10
0,0,6,4,10
0,0,6,5,12
0,0,6,6,10
0,0,6,7,11
0,0,6,8,13
0,0,6,9,12
0,0,6,10,13
0,0,6,11,14
0,0,6,12,9
0,0,6,13,14
0,0,6,14,12
0,0,6,15,13
0,0,6,16,13
0,0,6,17,12
0,0,6,18,12
0,0,6,19,17
0,0,6,20,14
0,0,6,21,15
0,0,6,22,16
0,0,6,23,15
0,0,6,24,13
0,0,6,25,17
0,0,6,26,14
0,0,6,27,9
0,0,6,28,15
0,0,6,29,16
0,0,6,30,15
0,0,6,31,10
0,0,7,0,14
0,0,7,1,10
0,0,7,2,16
0,0,7,3,20
0,0,7,4,14
0,0,7,5,12
0,0,7,6,12
0,0,7,7,15
0,0,7,8,11
0,0,7,9,10
0,0,7,10,18
0,0,7,11,13
0,0,7,12,11
0,0,7,13,14
0,0,7,14,16
0,0,7,15,9
0,0,7,16,7
0,0,7,17,9
0,0,7,18,12
0,0,7,19,13
0,0,7,20,14
0,0,7,21,12
0,0,7,22,10
0,0,7,23,9
0,0,7,24,14
0,0,7,25,13
0,0,7,26,13
0,0,7,27,12
0,0,7,28,12
0,0,7,29,10
0,0,7,30,12
0,0,7,31,17
1,0,0,0,11
1,0,0,1,10
1,0,0,2,15
1,0,0,3,16
1,0,0,4,12
1,0,0,5,13
1,0,0,6,13
1,0,0,7,10
1,0,0,8,11
1,0,0,9,13
1,0,0,10,14
1,0,0,11,15
1,0,0,12,10
1,0,0,13,9
1,0,0,14,13
1,0,0,15,12
1,0,0,16,11
1,0,0,17,13
1,0,0,18,12
1,0,0,19,10
1,0,0,20,8
1,0,0,21,11
1,0,0,22,14
1,0,0,23,13
